Produkt,Kategorie,Preis,Lagerbestand

Laptop Pro 15,Elektronik,1299.99,24

Smartphone X200,Elektronik,899.50,52

Kabellose Kopfhörer,Zubehör,149.99,87

Gaming Maus,Elektronik,59.90,120

4K Monitor 27,Elektronik,379.00,34

Bürostuhl Ergo, Möbel,229.99,15

Schreibtisch Holz,Möbel,349.00,22

Stehlampe Modern,Möbel,79.90,45

Regal Classic 5er,Möbel,119.50,33

Sofa Comfort 3-Sitzer,Möbel,699.00,12

Küchentisch Rund,Möbel,259.99,18

Esszimmerstuhl Set 4,Möbel,189.00,27

Kommode Weiß,Möbel,149.50,19

Jeans Slim Fit,Mode,49.90,85

Sneaker Street,Mode,89.00,64

Jacke Winter Pro,Mode,149.00,37

Hoodie Casual,Mode,39.99,112

Hemd Business Blau,Mode,59.50,53

Kleid Sommer,Mode,79.00,44

Socken 6er Pack,Mode,12.99,180

Mixer Power 1000,Haushalt,89.99,47

Wasserkocher Glas,Haushalt,39.50,63

Staubsauger Smart,Haushalt,199.00,25

Mikrowelle 800W,Haushalt,119.00,32

Kühlschrank XL,Haushalt,899.00,10

Geschirrspüler Eco,Haushalt,549.99,14

Toaster 4-Scheiben,Haushalt,49.90,39

Bügeleisen Steam,Haushalt,69.99,21

Heizdecke Cozy,Haushalt,59.00,27